product_id,product_name,category,sub_category,brand,unit_cost,list_price,stock_quantity,product_status
PROD0000001,illo assumenda,Sports,Footwear,Generic,1286.76,6572.6,4350,Discontinued
PROD0000002,molestiae vitae,Grocery,Dairy,Xiaomi,4340.55,6023.95,2460,Inactive
PROD0000003,nulla provident,Sports,Footwear,LG,488.19,2202.61,4380,Inactive
PROD0000004,illo culpa,Beauty,Haircare,Sony,3978.42,7390.81,1131,Discontinued
PROD0000005,labore pariatur,Home & Kitchen,Decor,Sony,452.31,7153.11,303,Inactive
PROD0000006,error harum,Home & Kitchen,Decor,Generic,3102.5,7406.0,419,Inactive
PROD0000007,nostrum debitis,Electronics,Tablets,Generic,1783.63,1299.65,3724,Active
PROD0000008,necessitatibus dolores,Electronics,Mobiles,,3983.03,-100.0,1828,Discontinued
PROD0000009,odit error,Electronics,Mobiles,Apple,1662.94,2494.22,1292,Active
PROD0000010,accusantium placeat,Electronics,Laptops,,4775.12,8596.4,2781,Discontinued
PROD0000011,vel beatae,Electronics,Mobiles,OnePlus,4096.67,3166.87,3689,Active
PROD0000012,at non,Fashion,Men,Samsung,3421.76,3461.4,2890,Active
PROD0000013,vero aliquam,Home & Kitchen,Furniture,LG,1461.75,7390.3,1790,Active
PROD0000014,labore repellendus,Home & Kitchen,Cookware,Generic,3334.42,5704.68,983,Inactive
PROD0000015,explicabo accusamus,Electronics,Laptops,OnePlus,2246.37,6840.49,656,Active
PROD0000016,sit molestias,Grocery,Dairy,LG,4246.84,1377.47,2943,Inactive
PROD0000017,commodi voluptas,Grocery,Vegetables,OnePlus,2782.34,8353.44,628,Discontinued
PROD0000018,esse ea,Sports,Equipment,Samsung,81.38,4162.93,1046,Discontinued
PROD0000019,mollitia ex,Sports,Apparel,LG,935.69,9488.65,1454,Discontinued
PROD0000020,laborum iste,Beauty,Makeup,OnePlus,4038.85,1539.23,4846,Inactive
PROD0000021,repudiandae eaque,Electronics,Accessories,,4919.21,4633.75,4265,Inactive
PROD0000022,eaque laudantium,Sports,Equipment,OnePlus,263.88,3574.53,1450,Discontinued
