seller_id,seller_name,seller_city,seller_state,seller_rating,registration_date,seller_status
SELL00001,Bedi and Sons,Jaipur,Kerala,1.22,2021-04-02 06:35:59.565452,Banned
SELL00002,Setty-Mani,Indore,West Bengal,3.71,2021-04-03 06:35:59.565452,Active
SELL00003,Zachariah Inc,Kolkata,Andhra Pradesh,3.02,2021-04-04 06:35:59.565452,Inactive
SELL00004,Chaudhary LLC,Mumbai,Tamil Nadu,2.08,2021-04-05 06:35:59.565452,Inactive
SELL00005,Mital and Sons,Nagpur,Andhra Pradesh,2.39,2021-04-06 06:35:59.565452,Active
SELL00006,"Modi, Tripathi and Saran",Jaipur,Rajasthan,2.32,2021-04-07 06:35:59.565452,Banned
SELL00007,Dalal-Dua,Visakhapatnam,Karnataka,2.94,2021-04-08 06:35:59.565452,Active
SELL00008,Nagi Inc,Chennai,Kerala,2.95,2021-04-09 06:35:59.565452,Banned
SELL00009,Uppal-Kohli,Kolkata,Haryana,2.12,2021-04-10 06:35:59.565452,Banned
SELL00010,Kala-Kapadia,Ahmedabad,Kerala,3.09,2021-04-11 06:35:59.565452,Inactive
SELL00011,"Banik, Issac and Kohli",Lucknow,Rajasthan,3.55,2021-04-12 06:35:59.565452,Active
SELL00012,"Kota, Ravi and Dugar",Patna,Haryana,4.23,2021-04-13 06:35:59.565452,Banned
SELL00013,Kala-Kaur,Mumbai,Odisha,2.55,2021-04-14 06:35:59.565452,Active
SELL00014,Chaudry-Bala,Hyderabad,West Bengal,1.14,2021-04-15 06:35:59.565452,Active
SELL00015,Khosla Inc,Delhi,Bihar,2.24,2021-04-16 06:35:59.565452,Inactive
SELL00016,Aurora-Narayanan,Hyderabad,Telangana,3.81,2021-04-17 06:35:59.565452,Active
SELL00017,Rana-Kapadia,Mumbai,Maharashtra,1.23,2021-04-18 06:35:59.565452,Banned
SELL00018,Ray-Kara,Visakhapatnam,Karnataka,1.71,2021-04-19 06:35:59.565452,Inactive
SELL00019,Bhatia Inc,Mumbai,Tamil Nadu,2.54,2021-04-20 06:35:59.565452,Active
SELL00020,Mandal-Tak,Vadodara,Karnataka,2.49,2021-04-21 06:35:59.565452,Banned
SELL00021,Sethi-Mane,Chennai,Maharashtra,2.22,2021-04-22 06:35:59.565452,Inactive
SELL00022,Gour Ltd,Kolkata,Madhya Pradesh,,2021-04-23 06:35:59.565452,Banned
SELL00023,Chowdhury LLC,Mumbai,Bihar,1.2,2021-04-24 06:35:59.565452,Banned
SELL00024,Gola PLC,Visakhapatnam,Uttar Pradesh,1.91,2021-04-25 06:35:59.565452,Active
SELL00025,"Thakur, Nadig and Sheth",Visakhapatnam,Kerala,4.79,2021-04-26 06:35:59.565452,Inactive
SELL00026,Mody-Bhasin,Kochi,Maharashtra,3.8,2021-04-27 06:35:59.565452,Inactive
SELL00027,Bal Inc,Jaipur,Gujarat,2.35,2021-04-28 06:35:59.565452,Inactive
SELL00028,"Ramachandran, Nagarajan and Chaudhry",Mumbai,West Bengal,1.6,2021-04-29 06:35:59.565452,Inactive
SELL00029,"Walla, Aggarwal and Memon",Nagpur,Delhi,2.91,2021-04-30 06:35:59.565452,Banned
SELL00030,Pillay Ltd,Delhi,Telangana,2.95,2021-05-01 06:35:59.565452,Banned
SELL00031,Barman-Basak,Kochi,Kerala,4.82,2021-05-02 06:35:59.565452,Active
SELL00032,"Deep, Bajaj and Bera",Kochi,Kerala,3.56,2021-05-03 06:35:59.565452,Active
SELL00033,Bahri-Kunda,Nagpur,Telangana,,2021-05-04 06:35:59.565452,Banned
SELL00034,"Halder, Sabharwal and Chowdhury",Visakhapatnam,Telangana,4.89,2021-05-05 06:35:59.565452,Banned
SELL00035,Nazareth-Krish,Vadodara,Kerala,1.73,2021-05-06 06:35:59.565452,Inactive
SELL00036,Radhakrishnan and Sons,Ahmedabad,Maharashtra,6.0,2021-05-07 06:35:59.565452,Banned
SELL00037,Chaudhary-Dey,Bhopal,Gujarat,4.97,2021-05-08 06:35:59.565452,Active
SELL00038,"Radhakrishnan, Chaudhry and Saha",Mumbai,Punjab,1.88,2021-05-09 06:35:59.565452,Inactive
SELL00039,Choudhary-Chaudry,Hyderabad,Telangana,2.67,2021-05-10 06:35:59.565452,Inactive
SELL00040,Merchant and Sons,Hyderabad,Odisha,2.28,2021-05-11 06:35:59.565452,Active
